PREVYSEG 2026 — CRONOGRAMA MAESTRO Y CARTA GANTT OFICIAL (HASTA FIN DE MES / 4 VERSIONES GITHUB)
"Estructura Basada en los 4 Grandes Versionamientos de GitHub | Calendario Septiembre 2026 (D1 a D30) | Domingos Vacíos"

MÉTRICAS:,,Releases GitHub,,Versión 1.0 (Sem 1),,Versiones 2.0 a 4.0,,Plazo Total
,,4 Versiones (v1.0 a v4.0),,100% Completado,,En Progreso (En Curso),,30 Días (01/09 al 30/09)

WBS,Versión / Módulo,Actividad / Entregable / Hito,Responsable,F. Inicio,F. Fin,Días,% Avance,Estado,SEMANA 1 (D1-D7),,,,,,,SEMANA 2 (D8-D14),,,,,,,SEMANA 3 (D15-D21),,,,,,,SEMANA 4 (D22-D30),,,,,,,,
,,,,,,,,,D1(M),D2(X),D3(J),D4(V),D5(S),D6(D),D7(L),D8(M),D9(X),D10(J),D11(V),D12(S),D13(D),D14(L),D15(M),D16(X),D17(J),D18(V),D19(S),D20(D),D21(L),D22(M),D23(X),D24(J),D25(V),D26(S),D27(D),D28(L),D29(M),D30(X)
"📦 VERSIÓN 1.0.0 — ARQUITECTURA BASE, PORTAL WEB CORPORATIVO & CATÁLOGO SENCE (DÍAS 1 AL 7) — [100% LISTO]"
1.0,"Release v1.0.0","⭐ HITO 1: Release v1.0.0 - Portal Web y Catálogo SENCE Operativo (Presentación)","PM / Fullstack",2026-09-05,2026-09-05,1,100%,Completado,,,,,⭐,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,
1.1,"Planificación","Levantamiento de Requerimientos ERS (SENCE, OS-10, NCh 2728)","Analista / PM",2026-09-01,2026-09-02,2,100%,Completado,█,█,,,,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,
1.2,"Setup Inicial","Scaffolding con React 19, Vite, TailwindCSS y Canvas Background Interactivo","Dev Frontend",2026-09-01,2026-09-03,3,100%,Completado,█,█,█,,,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,
1.3,"Landing Page","Hero Section, Badges de acreditación y Propuesta de Valor","Dev Frontend",2026-09-02,2026-09-04,3,100%,Completado,,█,█,█,,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,
1.4,"Catálogo SENCE","Catálogo Oficial Depurado de los 6 Cursos Activos Autorizados","Dev Frontend",2026-09-03,2026-09-05,3,100%,Completado,,,█,█,█,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,
1.5,"Contacto WhatsApp","Integración de Formulario y Cotizaciones directas al WhatsApp +56978691869","Fullstack Dev",2026-09-04,2026-09-05,2,100%,Completado,,,,█,█,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,
1.6,"Búsqueda & UI","Buscador Global en Tiempo Real y Sección Quiénes Somos / Métricas","UX/UI Dev",2026-09-04,2026-09-05,2,100%,Completado,,,,█,█,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,
"📦 VERSIÓN 2.0.0 — CAMPUS VIRTUAL LMS MOODLE-LIKE & MATRIZ DE ROLES RBAC (DÍAS 8 AL 14) — [EN PROGRESO]"
2.0,"Release v2.0.0","⭐ HITO 2: Release v2.0.0 - Campus Virtual LMS y Espacio del Estudiante Operativo","PM / Fullstack",2026-09-12,2026-09-12,1,35%,En Progreso,,,,,,[DOMINGO],,,,,,⭐,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,
2.1,"Seguridad / Auth","Compuerta de Autenticación con RUT y Roles RBAC (Alumno vs Administrador)","Fullstack Dev",2026-09-08,2026-09-10,3,45%,En Progreso,,,,,,[DOMINGO],,█,█,█,,,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,
2.2,"LMS Layout","Estructura LMSLayout con Topbar, navegación lateral y badges SENCE","Dev Frontend",2026-09-09,2026-09-11,3,40%,En Progreso,,,,,,[DOMINGO],,,█,█,█,,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,
2.3,"Área Personal","Área Personal del Estudiante con Línea de Tiempo y seguimiento de progreso","Dev Frontend",2026-09-10,2026-09-12,3,30%,En Progreso,,,,,,[DOMINGO],,,,█,█,█,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,
2.4,"Mis Cursos","Vista Mis Cursos con tarjetas de avance curricular e inicio de módulos","Dev Frontend",2026-09-10,2026-09-12,3,25%,En Progreso,,,,,,[DOMINGO],,,,█,█,█,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,
2.5,"Administración","Panel de Administración del Sitio (15 Categorías) y Tabla Dinámica de Participantes","Fullstack Dev",2026-09-11,2026-09-12,2,20%,En Progreso,,,,,,[DOMINGO],,,,,█,█,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,
"📦 VERSIÓN 3.0.0 — SERVICIOS AL ESTUDIANTE & PORTAL DE BOLSA DE EMPLEO REGIONAL (DÍAS 15 AL 21) — [EN PROGRESO]"
3.0,"Release v3.0.0","⭐ HITO 3: Release v3.0.0 - Portal de Bolsa de Empleo Regional en Arica Operativo","PM / Fullstack",2026-09-19,2026-09-19,1,15%,En Progreso,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,,,,⭐,[DOMINGO],,,,,,,[DOMINGO],,,
3.1,"Bolsa de Empleo","Portal de Bolsa de Empleo Regional en Arica con Filtros y Ofertas de Seguridad","Dev Frontend",2026-09-15,2026-09-17,3,20%,En Progreso,,,,,,[DOMINGO],,,,,,,[DOMINGO],,█,█,█,,,[DOMINGO],,,,,,,[DOMINGO],,,
