WBS;Fase / Modulo;Actividad / Entregable;Responsable;Fecha Inicio;Fecha Fin;Dias;Avance;Estado
"🏗️ FASE 1: ARQUITECTURA BASE, BRANDING CORPORATIVO Y SISTEMA REACT 19";"";"";"";"";"";"";"";""
"1.0";"Setup Inicial";"⭐ HITO 1: Arquitectura Base, Canvas de Red y Configuración React 19 / Vite";"Tech Lead";"2026-09-01";"2026-09-02";1;"100%";"Completado"
"1.1";"Infraestructura Frontend";"Scaffolding con React 19, Vite, TailwindCSS v4 y Framer Motion";"Frontend Lead";"2026-09-01";"2026-09-03";3;"100%";"Completado"
"1.2";"Diseño & Estilo";"Sistema de diseño visual, paleta corporativa OTEC (Navy, Cyan, Slate) y tipografía";"UI/UX Designer";"2026-09-02";"2026-09-04";3;"100%";"Completado"
"1.3";"Efectos Interactivos";"Fondo interactivo de nodos y partículas en HTML5 Canvas (NetworkBackground)";"Frontend Dev";"2026-09-02";"2026-09-04";3;"100%";"Completado"
"1.4";"Conectividad Supabase";"Integración del SDK de Supabase, cliente singleton y variables de entorno seguras";"Backend Dev";"2026-09-03";"2026-09-05";3;"100%";"Completado"
"🌐 FASE 2: PORTAL INSTITUCIONAL & SWITCHER CONMUTABLE DE ESCUELAS";"";"";"";"";"";"";"";""
"2.0";"Portal Web";"⭐ HITO 2: Portal Web Oficial y Navegación Dinámica entre Escuelas Operativo";"Fullstack Dev";"2026-09-08";"2026-09-08";1;"100%";"Completado"
"2.1";"Navegación Sticky";"Header corporativo con branding OTEC, logos oficiales SENCE/SPD y navegación fluida";"Frontend Dev";"2026-09-05";"2026-09-07";3;"100%";"Completado"
"2.2";"Hero Section";"Hero principal con Switcher conmutable (Escuela de Seguridad vs Escuela de Oficios)";"Frontend Dev";"2026-09-06";"2026-09-08";3;"100%";"Completado"
"2.3";"Identidad Institucional";"Sección Quiénes Somos con la Misión Institucional oficial de PrevySeg, Visión y Valores";"Content / UX";"2026-09-07";"2026-09-09";3;"100%";"Completado"
"2.4";"Estándares Adaptativos";"Sección de Ejecución adaptable según la escuela activa (OS-10/SPD vs Competencias Laborales)";"Frontend Dev";"2026-09-08";"2026-09-10";3;"100%";"Completado"
"2.5";"Métricas & Blog";"Panel de estadísticas (+15 años, +8.500 egresados, 98% empleabilidad) y Blog de experiencias";"Frontend Dev";"2026-09-09";"2026-09-11";3;"100%";"Completado"
"2.6";"Contacto & Ubicación";"Footer corporativo con información de sede Blanco Encalada 666 Arica y WhatsApp directo";"Frontend Dev";"2026-09-09";"2026-09-11";3;"100%";"Completado"
"📚 FASE 3: CATÁLOGO OFICIAL DE 20 CURSOS Y MODALES DE ESCUELA";"";"";"";"";"";"";"";""
"3.0";"Catálogo de Cursos";"⭐ HITO 3: Catálogo Oficial Exclusivo de 20 Cursos (10 Oficios y 10 Seguridad) Operativo";"Content / Dev";"2026-09-14";"2026-09-14";1;"100%";"Completado"
"3.1";"Escuela de Oficios";"Implementación de los 10 Cursos Oficiales de Oficios (Habilidades, Agro, Logística, Alimentos, Estética, Salud, Cajas)";"Fullstack Dev";"2026-09-11";"2026-09-13";3;"100%";"Completado"
"3.2";"Escuela de Seguridad";"Implementación de los 10 Cursos Oficiales de Seguridad Privada (Guardias OS-10, Vigilantes, Marítimo, Porteros, Perfeccionamiento, CCTV, Supervisor)";"Fullstack Dev";"2026-09-12";"2026-09-14";3;"100%";"Completado"
"3.3";"Tarjetas Interactivas";"Componentes de tarjetas de curso con modalidad, horas, fechas de inicio/término, arancel y abono 50%";"Frontend Dev";"2026-09-13";"2026-09-15";3;"100%";"Completado"
"3.4";"Modal de Escuela";"Modal inmersivo de Escuela con pestañas de Info General OTEC, Requisitos de Admisión y Malla Curricular";"Frontend Dev";"2026-09-14";"2026-09-16";3;"100%";"Completado"
"3.5";"Buscador Global";"Modal de búsqueda predictiva en tiempo real por título, categoría o palabras clave de los 20 cursos";"Frontend Dev";"2026-09-14";"2026-09-15";2;"100%";"Completado"
"📝 FASE 4: FICHA DE INSCRIPCIÓN DIGITAL, AULA VIRTUAL Y ABONO 50%";"";"";"";"";"";"";"";""
"4.0";"Admisión & Abono";"⭐ HITO 4: Ficha de Inscripción Digital con Creación de Cuenta y Abono 50% Operativa";"Fullstack Lead";"2026-09-18";"2026-09-18";1;"100%";"Completado"
"4.1";"Formulario de Inscripción";"Ficha oficial con asignación de curso contextual y validación de RUT chileno con dígito verificador";"Frontend Dev";"2026-09-15";"2026-09-17";3;"100%";"Completado"
"4.2";"Creación de Cuenta Aula";"Módulo de creación de cuenta: RUT como usuario y contraseña secreta con confirmación y visibilidad conmutada";"Fullstack Dev";"2026-09-16";"2026-09-18";3;"100%";"Completado"
"4.3";"Pasarela de Abono 50%";"Cálculo de Cuota 1 (50% Reserva) y Cuota 2 (50% Saldo) con opciones Webpay Plus, Transferencia bancaria y Efectivo";"Fullstack Dev";"2026-09-16";"2026-09-18";3;"100%";"Completado"
"4.4";"Buzón de Consultas";"Campo interactivo para dudas del postulante y aviso oficial de contacto WhatsApp para validación de documentos";"Frontend Dev";"2026-09-17";"2026-09-18";2;"100%";"Completado"
"4.5";"Pantalla de Confirmación";"Generación de código de expediente (PS-XXXXXX), tarjeta de credenciales y botón de ingreso inmediato a la plataforma";"Frontend Dev";"2026-09-17";"2026-09-19";3;"100%";"Completado"
"🗄️ FASE 5: PERSISTENCIA ATÓMICA EN POSTGRESQL & MOTOR SUPABASE";"";"";"";"";"";"";"";""
"5.0";"Base de Datos";"⭐ HITO 5: Base de Datos Relacional y Procedimiento Atómico process_enrollment_registration Operativo";"DBA / Backend";"2026-09-21";"2026-09-21";1;"100%";"Completado"
"5.1";"Esquema Relacional";"Tablas maestras: public.users, escuela_oficio, escuela_seguridad, enrollments, courses, job_offers";"DBA";"2026-09-18";"2026-09-20";3;"100%";"Completado"
"5.2";"Procedimiento Atómico";"Stored Procedure process_enrollment_registration (SECURITY DEFINER) para inserción atómica y creación de cuenta";"Backend Dev";"2026-09-19";"2026-09-21";3;"100%";"Completado"
"5.3";"Reglas Institucionales";"Trigger institucional check_single_course_enrollment (1 curso activo por alumno) y constraint UNIQUE(user_id, course_id)";"DBA";"2026-09-19";"2026-09-21";3;"100%";"Completado"
"5.4";"Autenticación GoTrue";"Integración con auth.users, generación de hashes Blowfish Bcrypt, activación de email_verified y sesiones JWT";"Backend Dev";"2026-09-20";"2026-09-22";3;"100%";"Completado"
"🎓 FASE 6: PLATAFORMA LMS MULTI-ROL (ESTUDIANTE, DOCENTE, EMPRESA, ADMIN)";"";"";"";"";"";"";"";""
"6.0";"Campus Virtual";"⭐ HITO 6: Campus Virtual LMS Completo con Control de Acceso por Roles (RBAC) Operativo";"Fullstack Lead";"2026-09-26";"2026-09-26";1;"100%";"Completado"
"6.1";"Layout & Control RBAC";"LMSLayout con navegación lateral, conmutador de temas y permisos según rol (STUDENT, TEACHER, EMPLOYER, ADMIN)";"Frontend Lead";"2026-09-21";"2026-09-23";3;"100%";"Completado"
"6.2";"Portal Estudiante";"Área Personal, Mis Cursos, Aula Virtual interactiva, Módulo de Clases en Vivo sincrónicas y Configuración de Perfil";"Frontend Dev";"2026-09-22";"2026-09-24";3;"100%";"Completado"
"6.3";"Bolsa de Empleo Regional";"Portal de empleo de Arica con ofertas en seguridad y oficios, postulación directa con perfil de alumno";"Fullstack Dev";"2026-09-23";"2026-09-25";3;"100%";"Completado"
"6.4";"Portal Docente";"Panel del instructor para control de asistencia, libro de clases digital, Banco de Preguntas y Banco de Contenidos";"Fullstack Dev";"2026-09-23";"2026-09-25";3;"100%";"Completado"
